[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
1.1_angles.xlsx,LeftShoulder,-2.13,1.55,3249.65,3219.91
1.1_angles.xlsx,RightShoulder,-0.47,0.71,3223.63,3253.37
1.1_angles.xlsx,LeftElbow,-2.54,2.66,3625.05,3651.07
1.1_angles.xlsx,RightElbow,-1.26,1.0,3249.65,3219.91
1.1_angles.xlsx,LeftHip,-0.49,0.25,3249.65,2803.63
1.1_angles.xlsx,RightHip,-0.85,0.83,3651.07,3249.65
1.1_angles.xlsx,LeftKnee,-1.26,1.65,3625.05,3651.07
1.1_angles.xlsx,RightKnee,-3.88,2.61,3249.65,3219.91
1.1_angles.xlsx,LeftAnkle,-1.96,1.75,3227.35,3260.8
1.1_angles.xlsx,RightAnkle,-1.31,1.49,4740.11,2870.53
1.2_angles.xlsx,LeftShoulder,-0.34,0.44,8241.41,7307.46
1.2_angles.xlsx,RightShoulder,-0.17,0.22,8078.09,7368.7
1.2_angles.xlsx,LeftElbow,-0.3,0.41,7302.35,7072.69
1.2_angles.xlsx,RightElbow,-0.17,0.21,7904.57,7036.97
1.2_angles.xlsx,LeftHip,-0.27,0.21,5771.29,5970.33
1.2_angles.xlsx,RightHip,-0.24,0.2,7812.71,7236.01
1.2_angles.xlsx,LeftKnee,-0.16,0.23,5776.39,8976.32
1.2_angles.xlsx,RightKnee,-0.29,0.28,3801.32,3709.45
1.2_angles.xlsx,LeftAnkle,-1.17,1.17,6802.21,60.41
1.2_angles.xlsx,RightAnkle,-1.38,1.33,8175.06,8879.35
1.3_angles.xlsx,LeftShoulder,-0.36,0.39,4343.07,4160.45
1.3_angles.xlsx,RightShoulder,-0.38,0.42,4696.65,4374.15
1.3_angles.xlsx,LeftElbow,-0.37,0.46,1005.48,2004.03
1.3_angles.xlsx,RightElbow,-0.42,0.4,1770.91,2233.28
1.3_angles.xlsx,LeftHip,-0.76,0.68,4471.29,3006.48
1.3_angles.xlsx,RightHip,-0.72,0.88,4700.53,4638.36
1.3_angles.xlsx,LeftKnee,-0.38,0.34,3002.59,4700.53
1.3_angles.xlsx,RightKnee,-0.34,0.85,2738.38,4704.42
1.3_angles.xlsx,LeftAnkle,-1.25,1.26,1238.6,4168.23
1.3_angles.xlsx,RightAnkle,-1.43,1.44,5978.84,5866.16
1.4_angles.xlsx,LeftShoulder,-0.25,0.21,4519.79,3482.23
1.4_angles.xlsx,RightShoulder,-0.28,0.17,5181.74,4441.69
1.4_angles.xlsx,LeftElbow,-0.16,0.22,882.74,4516.07
1.4_angles.xlsx,RightElbow,-0.13,0.13,979.43,916.21
1.4_angles.xlsx,LeftHip,-0.25,0.15,5438.35,4646.23
1.4_angles.xlsx,RightHip,-0.5,0.24,5449.5,4646.23
