[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
1.1_angles.xlsx,LeftShoulder,-0.09,0.08,1178.28,3148.22
1.1_angles.xlsx,RightShoulder,-0.09,0.07,1246.44,784.73
1.1_angles.xlsx,LeftElbow,-0.28,0.27,3146.03,1275.02
1.1_angles.xlsx,RightElbow,-0.27,0.22,978.21,1873.04
1.1_angles.xlsx,LeftHip,-0.16,0.09,1437.71,1508.07
1.1_angles.xlsx,RightHip,-0.18,0.14,1376.15,1417.93
1.1_angles.xlsx,LeftKnee,-0.29,0.47,1903.82,971.61
1.1_angles.xlsx,RightKnee,-0.35,0.54,1395.94,1631.19
1.1_angles.xlsx,LeftAnkle,-1.48,1.34,613.24,571.47
1.1_angles.xlsx,RightAnkle,-1.39,1.66,1580.62,1538.85
1.2_angles.xlsx,LeftShoulder,-0.09,0.11,2151.32,4188.44
1.2_angles.xlsx,RightShoulder,-0.07,0.09,2059.96,2148.85
1.2_angles.xlsx,LeftElbow,-0.18,0.19,3919.29,3879.78
1.2_angles.xlsx,RightElbow,-0.18,0.17,2682.2,1454.99
1.2_angles.xlsx,LeftHip,-0.14,0.18,2057.49,1951.31
1.2_angles.xlsx,RightHip,-0.12,0.13,2282.19,1514.26
1.2_angles.xlsx,LeftKnee,-0.33,0.35,1580.93,3146.42
1.2_angles.xlsx,RightKnee,-0.36,0.42,3376.06,2489.6
1.2_angles.xlsx,LeftAnkle,-1.78,1.66,2822.95,2780.97
1.2_angles.xlsx,RightAnkle,-1.56,1.73,2452.57,3615.57
1.3_angles.xlsx,LeftShoulder,-0.16,0.15,2502.38,3706.65
1.3_angles.xlsx,RightShoulder,-0.09,0.07,2001.94,804.52
1.3_angles.xlsx,LeftElbow,-0.37,0.23,3640.38,3596.97
1.3_angles.xlsx,RightElbow,-0.3,0.23,3071.38,2237.31
1.3_angles.xlsx,LeftHip,-0.11,0.13,1915.1,2406.41
1.3_angles.xlsx,RightHip,-0.23,0.17,2267.01,2308.15
1.3_angles.xlsx,LeftKnee,-0.29,0.47,2139.05,1931.1
1.3_angles.xlsx,RightKnee,-0.84,0.6,3272.48,2502.38
1.3_angles.xlsx,LeftAnkle,-2.01,1.66,2737.75,1832.84
1.3_angles.xlsx,RightAnkle,-1.87,2.03,2308.15,2267.01
1.4_angles.xlsx,LeftShoulder,-0.09,0.14,2921.64,2773.16
1.4_angles.xlsx,RightShoulder,-0.14,0.11,1143.13,2509.19
1.4_angles.xlsx,LeftElbow,-0.23,0.21,1075.49,2276.56
1.4_angles.xlsx,RightElbow,-0.32,0.29,1375.76,879.16
1.4_angles.xlsx,LeftHip,-0.19,0.12,1412.06,862.66
1.4_angles.xlsx,RightHip,-0.23,0.2,1572.09,1407.11
1.4_angles.xlsx,LeftKnee,-0.35,0.52,1078.79,1268.52
1.4_angles.xlsx,RightKnee,-0.6,0.46,1568.79,1804.71
1.4_angles.xlsx,LeftAnkle,-1.49,1.59,1212.43,1167.88
1.4_angles.xlsx,RightAnkle,-1.71,1.75,1481.35,1438.45
1.5_angles.xlsx,LeftShoulder,-0.28,0.2,2808.88,2073.52
1.5_angles.xlsx,RightShoulder,-0.19,0.14,2073.52,2808.88
1.5_angles.xlsx,LeftElbow,-0.33,0.31,2276.12,1573.77
1.5_angles.xlsx,RightElbow,-0.39,0.29,2712.84,2076.52
1.5_angles.xlsx,LeftHip,-0.17,0.12,1405.68,2001.48
1.5_angles.xlsx,RightHip,-0.32,0.18,1876.92,1936.95
1.5_angles.xlsx,LeftKnee,-0.45,0.37,2277.62,2451.71
1.5_angles.xlsx,RightKnee,-0.94,0.46,1876.92,2070.52
1.5_angles.xlsx,LeftAnkle,-1.37,1.27,2008.98,836.9
1.5_angles.xlsx,RightAnkle,-1.13,2.04,986.97,938.95
10.1_angles.xlsx,LeftShoulder,-2.32,1.29,2407.17,2452.9
10.1_angles.xlsx,RightShoulder,-0.33,0.32,2408.4,2455.37
10.1_angles.xlsx,LeftElbow,-4.2,2.22,2408.4,2455.37
10.1_angles.xlsx,RightElbow,-0.34,0.27,2078.36,567.82
10.1_angles.xlsx,LeftHip,-0.17,0.22,2460.32,2407.17
10.1_angles.xlsx,RightHip,-0.26,0.13,2410.87,2477.62
10.1_angles.xlsx,LeftKnee,-1.04,0.34,2412.11,2372.55
10.1_angles.xlsx,RightKnee,-0.67,0.38,1471.42,1281.06
10.1_angles.xlsx,LeftAnkle,-2.05,2.5,743.35,701.32
10.1_angles.xlsx,RightAnkle,-2.63,1.8,1140.15,1100.59
10.2_angles.xlsx,LeftShoulder,-3.79,2.73,1314.76,1583.58
10.2_angles.xlsx,RightShoulder,-2.08,0.99,1747.8,1316.6
10.2_angles.xlsx,LeftElbow,-10.73,4.41,1856.06,1807.44
10.2_angles.xlsx,RightElbow,-3.3,2.96,1658.81,1745.05
10.2_angles.xlsx,LeftHip,-0.48,1.06,1671.65,1737.71
10.2_angles.xlsx,RightHip,-0.52,1.39,1567.06,1879.0
10.2_angles.xlsx,LeftKnee,-2.86,3.59,1584.5,1879.0
10.2_angles.xlsx,RightKnee,-2.24,0.53,1656.97,1612.94
10.2_angles.xlsx,LeftAnkle,-3.61,1.97,1585.41,1744.13
10.2_angles.xlsx,RightAnkle,-3.7,2.81,1879.0,1578.99
10.3_angles.xlsx,LeftShoulder,-5.5,1.33,1956.67,1904.23
10.3_angles.xlsx,RightShoulder,-0.24,0.45,1738.2,1958.61
10.3_angles.xlsx,LeftElbow,-1.47,3.5,1901.32,1955.7
10.3_angles.xlsx,RightElbow,-1.12,0.21,1955.7,1736.25
10.3_angles.xlsx,LeftHip,-0.18,0.11,1772.18,1816.85
10.3_angles.xlsx,RightHip,-0.37,0.29,1477.97,1274.06
10.3_angles.xlsx,LeftKnee,-0.68,0.5,1771.21,1818.79
10.3_angles.xlsx,RightKnee,-0.75,0.92,1552.74,1509.04
10.3_angles.xlsx,LeftAnkle,-1.47,2.35,275.89,1008.99
10.3_angles.xlsx,RightAnkle,-1.62,1.73,1275.04,1780.92
