[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
1.1_positions.xlsx,SpineBase x (mm),-10.99,6.52,3249.65,3219.91
1.1_positions.xlsx,SpineBase y (mm),-5.8,7.55,3625.05,3651.07
1.1_positions.xlsx,SpineBase z (mm),-6.67,5.13,3651.07,3625.05
1.1_positions.xlsx,SpineMid x (mm),-10.84,6.31,3249.65,3219.91
1.1_positions.xlsx,SpineMid y (mm),-5.73,7.49,3625.05,3651.07
1.1_positions.xlsx,SpineMid z (mm),-5.86,4.53,3651.07,3625.05
1.1_positions.xlsx,Neck x (mm),-11.24,6.49,3249.65,3219.91
1.1_positions.xlsx,Neck y (mm),-4.99,6.59,3625.05,3651.07
1.1_positions.xlsx,Neck z (mm),-4.21,3.26,3651.07,3625.05
1.1_positions.xlsx,Head x (mm),-19.69,12.8,3249.65,3219.91
1.1_positions.xlsx,Head y (mm),-3.7,4.96,3625.05,3651.07
1.1_positions.xlsx,Head z (mm),-1.67,2.55,3651.07,3249.65
1.1_positions.xlsx,ShoulderLeft x (mm),-17.0,11.15,3249.65,3219.91
1.1_positions.xlsx,ShoulderLeft y (mm),-9.59,12.47,3625.05,3651.07
1.1_positions.xlsx,ShoulderLeft z (mm),-8.22,6.21,3651.07,3625.05
1.1_positions.xlsx,ElbowLeft x (mm),-18.92,12.78,3249.65,3219.91
1.1_positions.xlsx,ElbowLeft y (mm),-2.79,3.48,3625.05,3651.07
1.1_positions.xlsx,ElbowLeft z (mm),-11.98,7.91,3249.65,3219.91
1.1_positions.xlsx,WristLeft x (mm),-16.6,15.32,3651.07,3625.05
1.1_positions.xlsx,WristLeft y (mm),-15.48,19.01,3625.05,3651.07
1.1_positions.xlsx,WristLeft z (mm),-25.28,16.67,3249.65,3219.91
1.1_positions.xlsx,HandLeft x (mm),-13.47,12.93,3249.65,3651.07
1.1_positions.xlsx,HandLeft y (mm),-10.82,14.13,3625.05,3651.07
1.1_positions.xlsx,HandLeft z (mm),-25.24,16.15,3249.65,3219.91
1.1_positions.xlsx,ShoulderRight x (mm),-11.07,6.66,3249.65,3219.91
1.1_positions.xlsx,ShoulderRight y (mm),-4.89,6.54,3625.05,3651.07
1.1_positions.xlsx,ShoulderRight z (mm),-4.14,3.41,3651.07,3249.65
1.1_positions.xlsx,ElbowRight x (mm),-14.69,9.96,3249.65,3219.91
1.1_positions.xlsx,ElbowRight y (mm),-7.73,11.29,3625.05,3249.65
1.1_positions.xlsx,ElbowRight z (mm),-7.28,11.67,3219.91,3249.65
1.1_positions.xlsx,WristRight x (mm),-19.9,13.96,3249.65,3219.91
1.1_positions.xlsx,WristRight y (mm),-15.39,22.65,3219.91,3249.65
1.1_positions.xlsx,WristRight z (mm),-9.76,15.56,3219.91,3249.65
1.1_positions.xlsx,HandRight x (mm),-33.03,24.3,3249.65,3219.91
1.1_positions.xlsx,HandRight y (mm),-17.9,25.98,3219.91,3249.65
1.1_positions.xlsx,HandRight z (mm),-10.37,16.7,3219.91,3249.65
1.1_positions.xlsx,HipLeft x (mm),-10.44,6.15,3249.65,3219.91
1.1_positions.xlsx,HipLeft y (mm),-4.45,5.84,3625.05,3651.07
1.1_positions.xlsx,HipLeft z (mm),-6.62,5.05,3651.07,3625.05
1.1_positions.xlsx,KneeLeft x (mm),-3.55,2.23,3249.65,3219.91
1.1_positions.xlsx,KneeLeft y (mm),-2.51,2.3,2844.51,2706.99
1.1_positions.xlsx,KneeLeft z (mm),-3.49,5.58,3219.91,3249.65
1.1_positions.xlsx,AnkleLeft x (mm),-6.13,10.34,3219.91,3249.65
1.1_positions.xlsx,AnkleLeft y (mm),-3.1,2.09,3249.65,3219.91
1.1_positions.xlsx,AnkleLeft z (mm),-5.33,9.6,3219.91,3249.65
1.1_positions.xlsx,FootLeft x (mm),-4.03,8.76,3219.91,3249.65
1.1_positions.xlsx,FootLeft y (mm),-5.71,4.79,3253.37,3223.63
1.1_positions.xlsx,FootLeft z (mm),-7.97,11.99,3223.63,3253.37
1.1_positions.xlsx,HipRight x (mm),-11.55,6.97,3249.65,3219.91
1.1_positions.xlsx,HipRight y (mm),-7.13,9.24,3625.05,3651.07
1.1_positions.xlsx,HipRight z (mm),-7.62,5.95,3651.07,3625.05
1.1_positions.xlsx,KneeRight x (mm),-6.39,4.59,3651.07,3625.05
1.1_positions.xlsx,KneeRight y (mm),-9.1,13.58,3219.91,3249.65
1.1_positions.xlsx,KneeRight z (mm),-13.77,9.44,3249.65,3219.91
1.1_positions.xlsx,AnkleRight x (mm),-5.56,3.98,3651.07,3625.05
1.1_positions.xlsx,AnkleRight y (mm),-9.59,14.1,3219.91,3249.65
1.1_positions.xlsx,AnkleRight z (mm),-7.48,5.09,3249.65,3219.91
1.1_positions.xlsx,FootRight x (mm),-3.92,2.72,3651.07,3625.05
1.1_positions.xlsx,FootRight y (mm),-9.59,14.11,3219.91,3249.65
1.1_positions.xlsx,FootRight z (mm),-8.05,5.51,3249.65,3219.91
1.1_positions.xlsx,SpineShoulder x (mm),-10.74,6.16,3249.65,3219.91
1.1_positions.xlsx,SpineShoulder y (mm),-5.72,7.48,3625.05,3651.07
1.1_positions.xlsx,SpineShoulder z (mm),-5.06,3.93,3651.07,3625.05
1.1_positions.xlsx,HandTipLeft x (mm),-11.92,9.51,3249.65,3651.07
1.1_positions.xlsx,HandTipLeft y (mm),-16.21,20.9,3625.05,3651.07
1.1_positions.xlsx,HandTipLeft z (mm),-33.65,21.89,3249.65,3219.91
1.1_positions.xlsx,ThumbLeft x (mm),-25.62,34.03,3625.05,3651.07
1.1_positions.xlsx,ThumbLeft y (mm),-8.77,11.76,3625.05,3651.07
1.1_positions.xlsx,ThumbLeft z (mm),-32.65,22.16,3249.65,3219.91
1.1_positions.xlsx,HandTipRight x (mm),-31.73,22.19,3249.65,3219.91
1.1_positions.xlsx,HandTipRight y (mm),-8.56,14.38,3219.91,3249.65
1.1_positions.xlsx,HandTipRight z (mm),-20.46,30.9,3219.91,3249.65
1.1_positions.xlsx,ThumbRight x (mm),-57.76,43.61,3249.65,3223.63
1.1_positions.xlsx,ThumbRight y (mm),-25.26,35.57,3219.91,3249.65
1.1_positions.xlsx,ThumbRight z (mm),-6.65,9.54,3651.07,3249.65
1.2_positions.xlsx,SpineBase x (mm),-0.27,0.23,7460.56,8343.48
1.2_positions.xlsx,SpineBase y (mm),-0.25,0.49,8083.2,8802.8
1.2_positions.xlsx,SpineBase z (mm),-0.15,0.13,8083.2,2801.02
1.2_positions.xlsx,SpineMid x (mm),-0.3,0.3,7276.84,8501.69
1.2_positions.xlsx,SpineMid y (mm),-0.31,0.47,8078.09,8792.59
1.2_positions.xlsx,SpineMid z (mm),-0.18,0.12,8078.09,2974.54
1.2_positions.xlsx,Neck x (mm),-0.43,0.65,6960.42,4903.68
1.2_positions.xlsx,Neck y (mm),-0.35,0.51,8072.99,8782.38
1.2_positions.xlsx,Neck z (mm),-0.32,0.2,4903.68,8807.9
1.2_positions.xlsx,Head x (mm),-0.41,0.34,6970.62,8440.45
1.2_positions.xlsx,Head y (mm),-0.24,0.49,8093.4,8813.01
1.2_positions.xlsx,Head z (mm),-0.18,0.19,8506.79,8777.28
1.2_positions.xlsx,ShoulderLeft x (mm),-0.44,0.46,6975.73,4975.13
1.2_positions.xlsx,ShoulderLeft y (mm),-0.31,0.71,8093.4,8807.9
1.2_positions.xlsx,ShoulderLeft z (mm),-0.17,0.16,8363.89,7072.69
1.2_positions.xlsx,ElbowLeft x (mm),-1.75,1.53,7307.46,8241.41
1.2_positions.xlsx,ElbowLeft y (mm),-1.39,1.41,7935.19,7307.46
1.2_positions.xlsx,ElbowLeft z (mm),-0.43,0.36,8338.38,7036.97
1.2_positions.xlsx,WristLeft x (mm),-2.1,1.56,6940.0,8266.93
1.2_positions.xlsx,WristLeft y (mm),-1.65,1.82,8062.78,7338.08
1.2_positions.xlsx,WristLeft z (mm),-0.87,0.82,4408.64,4740.37
1.2_positions.xlsx,HandLeft x (mm),-2.14,1.64,6945.11,8261.82
