[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
1.1_positions.xlsx,SpineBase x (mm),-0.21,0.55,1439.91,1873.04
1.1_positions.xlsx,SpineBase y (mm),-0.22,0.28,1736.72,1257.43
1.1_positions.xlsx,SpineMid x (mm),-0.48,0.69,1444.31,1873.04
1.1_positions.xlsx,SpineMid y (mm),-0.18,0.23,446.15,740.76
1.1_positions.xlsx,Neck x (mm),-0.66,0.83,1446.51,1873.04
1.1_positions.xlsx,Neck y (mm),-0.24,0.25,446.15,679.2
1.1_positions.xlsx,Head x (mm),-1.36,0.83,3379.08,1873.04
1.1_positions.xlsx,Head y (mm),-0.79,0.29,3350.49,701.18
1.1_positions.xlsx,ShoulderLeft x (mm),-0.69,0.76,1444.31,1873.04
1.1_positions.xlsx,ShoulderLeft y (mm),-0.3,0.25,1140.9,3383.47
1.1_positions.xlsx,ElbowLeft x (mm),-0.59,0.76,1442.11,1873.04
1.1_positions.xlsx,ElbowLeft y (mm),-0.32,0.47,1270.62,1334.38
1.1_positions.xlsx,WristLeft x (mm),-0.59,0.79,1446.51,1873.04
1.1_positions.xlsx,WristLeft y (mm),-0.48,0.46,3678.09,2748.08
1.1_positions.xlsx,HandLeft x (mm),-0.55,0.87,1444.31,1875.23
1.1_positions.xlsx,HandLeft y (mm),-0.36,0.6,1211.26,1426.72
1.1_positions.xlsx,ShoulderRight x (mm),-0.59,0.83,1442.11,1873.04
1.1_positions.xlsx,ShoulderRight y (mm),-0.28,0.43,362.6,1250.83
1.1_positions.xlsx,ElbowRight x (mm),-0.59,0.66,1446.51,1873.04
1.1_positions.xlsx,ElbowRight y (mm),-0.43,1.02,672.6,712.18
1.1_positions.xlsx,WristRight x (mm),-0.69,1.03,1446.51,1875.23
1.1_positions.xlsx,WristRight y (mm),-2.23,1.42,446.15,507.71
1.1_positions.xlsx,HandRight x (mm),-0.69,0.95,1444.31,762.74
1.1_positions.xlsx,HandRight y (mm),-1.17,0.52,446.15,1006.79
1.1_positions.xlsx,HipLeft x (mm),-0.21,0.59,1442.11,1873.04
1.1_positions.xlsx,HipLeft y (mm),-0.24,0.28,1206.86,1257.43
1.1_positions.xlsx,KneeLeft x (mm),-1.3,0.83,1442.11,1870.84
1.1_positions.xlsx,KneeLeft y (mm),-0.59,0.78,1275.02,1017.78
1.1_positions.xlsx,AnkleLeft x (mm),-0.76,0.93,912.25,1873.04
1.1_positions.xlsx,AnkleLeft y (mm),-2.17,1.58,2781.06,734.16
1.1_positions.xlsx,FootLeft x (mm),-1.35,2.73,863.88,976.01
1.1_positions.xlsx,FootLeft y (mm),-2.34,2.12,2413.89,2372.12
1.1_positions.xlsx,HipRight x (mm),-0.28,0.55,1442.11,1873.04
1.1_positions.xlsx,HipRight y (mm),-0.19,0.26,1734.52,1255.23
1.1_positions.xlsx,KneeRight x (mm),-0.89,1.11,1422.32,1378.35
1.1_positions.xlsx,KneeRight y (mm),-0.95,0.94,1512.47,1415.73
1.1_positions.xlsx,AnkleRight x (mm),-1.06,0.89,206.5,1873.04
1.1_positions.xlsx,AnkleRight y (mm),-2.25,2.07,1281.61,2642.55
1.1_positions.xlsx,FootRight x (mm),-2.65,2.81,1580.62,1538.85
1.1_positions.xlsx,FootRight y (mm),-2.55,1.81,1541.05,1734.52
1.1_positions.xlsx,SpineShoulder x (mm),-0.59,0.79,1444.31,1873.04
